Reporting Area,MMWRYear,MMWRWeek,"Cryptosporidiosis, Current week","Cryptosporidiosis, Current week, flag","Cryptosporidiosis, Previous 52 weeks Med","Cryptosporidiosis, Previous 52 weeks Med, flag","Cryptosporidiosis, Previous 52 weeks Max","Cryptosporidiosis, Previous 52 weeks Max, flag","Cryptosporidiosis, Cum 2014","Cryptosporidiosis, Cum 2014, flag","Cryptosporidiosis, Cum 2013","Cryptosporidiosis, Cum 2013, flag","Dengue Fever†, Current week","Dengue Fever†, Current week, flag","Dengue Fever†, Previous 52 weeks Med","Dengue Fever†, Previous 52 weeks Med, flag","Dengue Fever†, Previous 52 weeks Max","Dengue Fever†, Previous 52 weeks Max, flag","Dengue Fever†, Cum 2014","Dengue Fever†, Cum 2014, flag","Dengue Fever†, Cum 2013","Dengue Fever†, Cum 2013, flag","Dengue Hemorrhagic Fever§, Current week","Dengue Hemorrhagic Fever§, Current week, flag","Dengue Hemorrhagic Fever§, Previous 52 weeks Med","Dengue Hemorrhagic Fever§, Previous 52 weeks Med, flag","Dengue Hemorrhagic Fever§, Previous 52 weeks Max","Dengue Hemorrhagic Fever§, Previous 52 weeks Max, flag","Dengue Hemorrhagic Fever§, Cum 2014","Dengue Hemorrhagic Fever§, Cum 2014, flag","Dengue Hemorrhagic Fever§, Cum 2013","Dengue Hemorrhagic Fever§, Cum 2013, flag",Location 1,Location 1 (city),Location 2,Location 1 (state)
AMER. SAMOA,2014,12,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,AMER. SAMOA
WYOMING,2014,12,,-,0,,25,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-108.10982744299969 43.23554147100049),,,WYOMING
LOUISIANA,2014,12,1,,3,,31,,21,,47,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-92.44567554599968 31.312662564000448),,,LOUISIANA
MAINE,2014,12,2,,0,,4,,11,,4,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,POINT (-68.98502952999962 45.254228663000504),,,MAINE
SOUTH DAKOTA,2014,12,,-,2,,17,,14,,18,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-100.37352811899967 44.35313342000046),,,SOUTH DAKOTA
RHODE ISLAND,2014,12,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-71.52246918099962 41.70828281900049),,,RHODE ISLAND
ALABAMA,2014,12,,-,2,,8,,18,,22,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,POINT (-86.63185803899967 32.84057327200048),,,ALABAMA
NEW HAMPSHIRE,2014,12,,-,1,,2,,2,,3,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,POINT (-71.50035726399966 43.6559537330005),,,NEW HAMPSHIRE
UTAH,2014,12,,-,1,,8,,9,,29,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-111.5871285339997 39.36070374600047),,,UTAH
FLORIDA,2014,12,4,,8,,23,,105,,61,,,-,0,,7,,,-,22,,,-,0,,0,,,-,,-,POINT (-81.92895558499964 28.932042899000464),,,FLORIDA
OHIO,2014,12,9,,6,,17,,63,,75,,,-,0,,2,,3,,3,,,-,0,,0,,,-,,-,POINT (-82.40425685299965 40.06021029700048),,,OHIO
COLORADO,2014,12,,-,2,,7,,5,,8,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-106.13360888799969 38.84384047000049),,,COLORADO
KENTUCKY,2014,12,,-,1,,5,,11,,10,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-84.77496612599964 37.645973909000475),,,KENTUCKY
KANSAS,2014,12,,-,2,,7,,7,,19,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-98.20077655499966 38.34774033400049),,,KANSAS
MARYLAND,2014,12,,-,1,,4,,12,,11,,,-,0,,1,,2,,2,,,-,0,,0,,,-,,-,POINT (-76.60925970899967 39.2905806980005),,,MARYLAND
VIRGINIA,2014,12,2,,3,,9,,29,,23,,,-,0,,3,,4,,5,,,-,0,,1,,,-,,-,POINT (-78.45788924199968 37.54268075100049),,,VIRGINIA
WEST VIRGINIA,2014,12,,-,0,,2,,,-,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-80.71263935099967 38.665511497000466),,,WEST VIRGINIA
MISSOURI,2014,12,,-,3,,11,,24,,41,,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,POINT (-92.56629737199967 38.63579372300046),,,MISSOURI
NEW MEXICO,2014,12,,-,1,,3,,12,,7,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-106.24057768899968 34.52088247800049),,,NEW MEXICO
HAWAII,2014,12,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,POINT (-157.85774691599974 21.30485166200043),,,HAWAII
MONTANA,2014,12,,-,1,,20,,2,,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-109.42441687999968 47.066526051000494),,,MONTANA
SOUTH CAROLINA,2014,12,1,,1,,7,,13,,23,,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,POINT (-81.04536765699964 33.99882060100049),,,SOUTH CAROLINA
CALIFORNIA,2014,12,6,,5,,15,,55,,60,,,-,1,,8,,,-,11,,,-,0,,0,,,-,,-,POINT (-120.99999889499969 37.638640488000476),,,CALIFORNIA
MINNESOTA,2014,12,,-,0,,0,,,-,,-,,-,0,,2,,,-,3,,,-,0,,1,,,-,,-,POINT (-94.79419697699967 46.35564867700049),,,MINNESOTA
ILLINOIS,2014,12,,-,4,,16,,4,,37,,,-,0,,3,,1,,5,,,-,0,,0,,,-,,-,POINT (-88.99770813999965 40.48501278700047),,,ILLINOIS
TEXAS,2014,12,1,,6,,34,,35,,43,,,-,1,,11,,1,,4,,,-,0,,0,,,-,,-,POINT (-99.4267664729997 31.827243635000457),,,TEXAS
NEBRASKA,2014,12,,-,2,,11,,8,,16,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.36571864599966 41.64104043900045),,,NEBRASKA
MISSISSIPPI,2014,12,,-,0,,5,,3,,9,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,POINT (-89.53802764499966 32.74551123200047),,,MISSISSIPPI
MASSACHUSETTS,2014,12,,-,2,,7,,18,,18,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-72.08268985899963 42.27687306500047),,,MASSACHUSETTS
DELAWARE,2014,12,,-,0,,2,,2,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-75.57773943699965 39.00883351400046),,,DELAWARE
C.N.M.I.,2014,12,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,C.N.M.I.
VERMONT,2014,12,,-,0,,2,,2,,3,,,-,0,,2,,2,,1,,,-,0,,0,,,-,,-,POINT (-72.51763944499965 43.62538292400046),,,VERMONT
GUAM,2014,12,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (144.70297250000056 13.355173397000442),,,GUAM
ARIZONA,2014,12,,-,1,,6,,12,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-111.76380949799972 34.865973091000455),,,ARIZONA
INDIANA,2014,12,,-,2,,7,,12,,30,,,-,0,,1,,,-,2,,,-,0,,0,,,-,,-,POINT (-86.14995579899966 39.76691364600049),,,INDIANA
UNITED STATES,2014,13,46,,108,,449,,982,,1194,,,-,10,,44,,23,,141,,,-,0,,2,,,-,1,,,,,
NEW ENGLAND,2014,13,2,,5,,14,,44,,41,,,-,0,,3,,2,,8,,,-,0,,0,,,-,,-,,,,
MID. ATLANTIC,2014,13,8,,12,,42,,116,,122,,,-,2,,12,,4,,47,,,-,0,,1,,,-,,-,,,,
E.N. CENTRAL,2014,13,8,,22,,64,,180,,277,,,-,1,,6,,5,,19,,,-,0,,0,,,-,,-,,,,
W.N. CENTRAL,2014,13,2,,17,,172,,97,,150,,,-,1,,3,,2,,6,,,-,0,,1,,,-,1,,,,,
S. ATLANTIC,2014,13,9,,20,,58,,267,,249,,,-,1,,11,,7,,36,,,-,0,,1,,,-,,-,,,,
E.S. CENTRAL,2014,13,2,,6,,18,,55,,58,,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,,,,
W.S. CENTRAL,2014,13,3,,12,,44,,76,,115,,,-,1,,11,,1,,4,,,-,0,,0,,,-,,-,,,,
MOUNTAIN,2014,13,1,,9,,54,,59,,86,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,,,,
PACIFIC,2014,13,11,,10,,75,,88,,96,,,-,1,,8,,1,,17,,,-,0,,0,,,-,,-,,,,
OKLAHOMA,2014,13,1,,1,,4,,10,,11,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,POINT (-97.52106845499969 35.472034350000456),,,OKLAHOMA
KANSAS,2014,13,,-,2,,7,,7,,20,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-98.20077655499966 38.34774033400049),,,KANSAS
MASSACHUSETTS,2014,13,1,,2,,7,,19,,23,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-72.08268985899963 42.27687306500047),,,MASSACHUSETTS
CALIFORNIA,2014,13,9,,5,,15,,66,,60,,,-,1,,8,,,-,13,,,-,0,,0,,,-,,-,POINT (-120.99999889499969 37.638640488000476),,,CALIFORNIA
UTAH,2014,13,,-,1,,8,,10,,30,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-111.5871285339997 39.36070374600047),,,UTAH
ALABAMA,2014,13,1,,2,,8,,20,,25,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,POINT (-86.63185803899967 32.84057327200048),,,ALABAMA
MARYLAND,2014,13,1,,1,,4,,13,,12,,,-,0,,2,,3,,2,,,-,0,,0,,,-,,-,POINT (-76.60925970899967 39.2905806980005),,,MARYLAND
CONNECTICUT,2014,13,,-,0,,5,,8,,5,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,POINT (-72.64983753699966 41.56266394200048),,,CONNECTICUT
PENNSYLVANIA,2014,13,2,,6,,30,,62,,71,,,-,0,,3,,3,,10,,,-,0,,0,,,-,,-,POINT (-77.86069775999965 40.79373106100047),,,PENNSYLVANIA
VIRGINIA,2014,13,,-,3,,9,,31,,25,,,-,0,,3,,4,,5,,,-,0,,1,,,-,,-,POINT (-78.45788924199968 37.54268075100049),,,VIRGINIA
GUAM,2014,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (144.70297250000056 13.355173397000442),,,GUAM
ILLINOIS,2014,13,,-,4,,16,,4,,38,,,-,0,,3,,1,,5,,,-,0,,0,,,-,,-,POINT (-88.99770813999965 40.48501278700047),,,ILLINOIS
WISCONSIN,2014,13,3,,7,,25,,61,,71,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,POINT (-89.81636715299965 44.3931903350005),,,WISCONSIN
MONTANA,2014,13,,-,1,,20,,3,,8,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-109.42441687999968 47.066526051000494),,,MONTANA
C.N.M.I.,2014,13,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,C.N.M.I.
MISSOURI,2014,13,2,,3,,11,,27,,43,,,-,0,,2,,2,,,-,,-,0,,0,,,-,,-,POINT (-92.56629737199967 38.63579372300046),,,MISSOURI
NEW HAMPSHIRE,2014,13,,-,0,,2,,2,,4,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,POINT (-71.50035726399966 43.6559537330005),,,NEW HAMPSHIRE
MINNESOTA,2014,13,,-,0,,0,,,-,,-,,-,0,,2,,,-,4,,,-,0,,1,,,-,,-,POINT (-94.79419697699967 46.35564867700049),,,MINNESOTA
MISSISSIPPI,2014,13,,-,0,,5,,5,,9,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,POINT (-89.53802764499966 32.74551123200047),,,MISSISSIPPI
AMER. SAMOA,2014,13,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,AMER. SAMOA
COLORADO,2014,13,,-,2,,7,,5,,11,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-106.13360888799969 38.84384047000049),,,COLORADO
OHIO,2014,13,4,,6,,17,,66,,81,,,-,0,,2,,3,,3,,,-,0,,0,,,-,,-,POINT (-82.40425685299965 40.06021029700048),,,OHIO
MICHIGAN,2014,13,1,,4,,15,,36,,55,,,-,0,,3,,,-,4,,,-,0,,0,,,-,,-,POINT (-84.71438724399968 44.66131575600048),,,MICHIGAN
SOUTH CAROLINA,2014,13,,-,1,,7,,13,,23,,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,POINT (-81.04536765699964 33.99882060100049),,,SOUTH CAROLINA
IOWA,2014,13,,-,6,,155,,31,,44,,,-,0,,0,,,-,,-,,-,0,,1,,,-,1,,POINT (-93.81648936699969 42.469404401000475),,,IOWA
TEXAS,2014,13,2,,6,,35,,42,,51,,,-,1,,11,,1,,4,,,-,0,,0,,,-,,-,POINT (-99.4267664729997 31.827243635000457),,,TEXAS
IDAHO,2014,13,1,,2,,16,,15,,18,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-114.3637261449997 43.682630058000484),,,IDAHO
ALASKA,2014,13,1,,0,,1,,1,,,-,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,POINT (-147.72205669099972 64.84507923900048),,,ALASKA
RHODE ISLAND,2014,13,,-,0,,2,,1,,,-,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-71.52246918099962 41.70828281900049),,,RHODE ISLAND
WEST VIRGINIA,2014,13,,-,0,,2,,,-,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-80.71263935099967 38.665511497000466),,,WEST VIRGINIA
HAWAII,2014,13,,-,0,,1,,,-,,-,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,POINT (-157.85774691599974 21.30485166200043),,,HAWAII
ARKANSAS,2014,13,,-,1,,12,,3,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-92.27448794899965 34.748651751000466),,,ARKANSAS
DELAWARE,2014,13,,-,0,,2,,2,,2,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-75.57773943699965 39.00883351400046),,,DELAWARE
SOUTH DAKOTA,2014,13,,-,3,,17,,18,,21,,,-,0,,1,,,-,1,,,-,0,,0,,,-,,-,POINT (-100.37352811899967 44.35313342000046),,,SOUTH DAKOTA
FLORIDA,2014,13,4,,8,,23,,109,,70,,,-,0,,8,,,-,23,,,-,0,,0,,,-,,-,POINT (-81.92895558499964 28.932042899000464),,,FLORIDA
OREGON,2014,13,,-,2,,58,,16,,26,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-120.15502977999972 44.567446178000466),,,OREGON
LOUISIANA,2014,13,,-,3,,31,,21,,48,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-92.44567554599968 31.312662564000448),,,LOUISIANA
NEBRASKA,2014,13,,-,2,,11,,8,,17,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.36571864599966 41.64104043900045),,,NEBRASKA
KENTUCKY,2014,13,,-,1,,5,,11,,11,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-84.77496612599964 37.645973909000475),,,KENTUCKY
NORTH CAROLINA,2014,13,4,,0,,28,,48,,42,,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,POINT (-79.15924924699965 35.46622388600048),,,NORTH CAROLINA
INDIANA,2014,13,,-,2,,7,,13,,32,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,POINT (-86.14995579899966 39.76691364600049),,,INDIANA
NEW YORK CITY,2014,13,2,,2,,6,,20,,10,,,-,1,,9,,1,,21,,,-,0,,1,,,-,,-,POINT (-74.00596858999967 40.71426755700048),,,NEW YORK CITY
NEW JERSEY,2014,13,,-,0,,5,,3,,10,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-74.27368565099965 40.1305700530005),,,NEW JERSEY
NEW MEXICO,2014,13,,-,1,,3,,12,,7,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-106.24057768899968 34.52088247800049),,,NEW MEXICO
GEORGIA,2014,13,,-,4,,16,,51,,70,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,POINT (-83.62757601199968 32.83968004200045),,,GEORGIA
WASHINGTON,2014,13,1,,1,,13,,5,,10,,,-,0,,2,,1,,2,,,-,0,,0,,,-,,-,POINT (-120.47002746299972 47.522287905000496),,,WASHINGTON
NEW YORK,2014,13,4,,4,,16,,31,,31,,,-,0,,3,,,-,16,,,-,0,,1,,,-,,-,POINT (-75.54396639699968 42.82700023900048),,,NEW YORK
DIST. OF COL.,2014,13,,N,0,,0,,,N,,N,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,DIST. OF COL.
NORTH DAKOTA,2014,13,,-,1,,7,,6,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-100.11842599699969 47.47531738700047),,,NORTH DAKOTA
NEVADA,2014,13,,-,0,,2,,1,,4,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,POINT (-117.07183978499972 39.49324126500045),,,NEVADA
VERMONT,2014,13,,-,0,,2,,2,,5,,,-,0,,2,,2,,1,,,-,0,,0,,,-,,-,POINT (-72.51763944499965 43.62538292400046),,,VERMONT
WYOMING,2014,13,,-,0,,25,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-108.10982744299969 43.23554147100049),,,WYOMING
ARIZONA,2014,13,,-,1,,6,,12,,7,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-111.76380949799972 34.865973091000455),,,ARIZONA
PUERTO RICO,2014,13,,N,0,,0,,,N,,N,,-,72,,424,,123,,2327,,,-,0,,5,,1,,13,,POINT (-98.34556876399967 26.649497232000442),,,PUERTO RICO
TENNESSEE,2014,13,1,,1,,6,,19,,13,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,POINT (-85.77448642199965 35.680943063000484),,,TENNESSEE
VIRGIN ISL.,2014,13,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,VIRGIN ISL.
MAINE,2014,13,1,,0,,4,,12,,4,,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,POINT (-68.98502952999962 45.254228663000504),,,MAINE
UNITED STATES,2014,14,46,,108,,451,,1059,,1304,,,-,11,,48,,32,,159,,,-,0,,2,,,-,1,,,,,
NEW ENGLAND,2014,14,,-,5,,14,,46,,49,,,-,0,,3,,3,,8,,,-,0,,0,,,-,,-,,,,
MID. ATLANTIC,2014,14,8,,12,,42,,123,,130,,,-,3,,12,,11,,50,,,-,0,,1,,,-,,-,,,,
E.N. CENTRAL,2014,14,13,,22,,64,,198,,299,,,-,1,,6,,5,,20,,,-,0,,0,,,-,,-,,,,
W.N. CENTRAL,2014,14,1,,17,,172,,103,,165,,,-,1,,3,,2,,7,,,-,0,,1,,,-,1,,,,,
S. ATLANTIC,2014,14,9,,20,,58,,276,,275,,,-,2,,16,,8,,45,,,-,0,,1,,,-,,-,,,,
E.S. CENTRAL,2014,14,3,,6,,19,,61,,63,,,-,0,,2,,,-,4,,,-,0,,0,,,-,,-,,,,
W.S. CENTRAL,2014,14,3,,12,,44,,91,,124,,,-,1,,11,,1,,4,,,-,0,,0,,,-,,-,,,,
MOUNTAIN,2014,14,1,,9,,54,,61,,94,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,,,,
PACIFIC,2014,14,8,,11,,75,,100,,105,,,-,1,,8,,1,,20,,,-,0,,0,,,-,,-,,,,
VIRGINIA,2014,14,1,,3,,9,,32,,27,,,-,0,,3,,5,,5,,,-,0,,1,,,-,,-,POINT (-78.45788924199968 37.54268075100049),,,VIRGINIA
PENNSYLVANIA,2014,14,4,,6,,30,,65,,74,,,-,0,,3,,5,,10,,,-,0,,0,,,-,,-,POINT (-77.86069775999965 40.79373106100047),,,PENNSYLVANIA
MARYLAND,2014,14,1,,1,,4,,14,,13,,,-,0,,2,,3,,2,,,-,0,,0,,,-,,-,POINT (-76.60925970899967 39.2905806980005),,,MARYLAND
WYOMING,2014,14,,-,0,,25,,1,,1,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-108.10982744299969 43.23554147100049),,,WYOMING
TEXAS,2014,14,2,,6,,35,,46,,55,,,-,1,,11,,1,,4,,,-,0,,0,,,-,,-,POINT (-99.4267664729997 31.827243635000457),,,TEXAS
MOUNTAIN,2014,15,5,,9,,54,,73,,103,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,,,,
WEST VIRGINIA,2014,14,,-,0,,2,,,-,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-80.71263935099967 38.665511497000466),,,WEST VIRGINIA
C.N.M.I.,2014,14,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,C.N.M.I.
OKLAHOMA,2014,14,,-,1,,4,,10,,14,,,-,0,,2,,,-,,-,,-,0,,0,,,-,,-,POINT (-97.52106845499969 35.472034350000456),,,OKLAHOMA
NORTH DAKOTA,2014,14,,-,1,,7,,6,,6,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-100.11842599699969 47.47531738700047),,,NORTH DAKOTA
MINNESOTA,2014,14,,-,0,,0,,,-,,-,,-,0,,2,,,-,5,,,-,0,,1,,,-,,-,POINT (-94.79419697699967 46.35564867700049),,,MINNESOTA
OREGON,2014,14,4,,2,,58,,22,,28,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-120.15502977999972 44.567446178000466),,,OREGON
RHODE ISLAND,2014,14,,-,0,,2,,1,,1,,,-,0,,1,,1,,,-,,-,0,,0,,,-,,-,POINT (-71.52246918099962 41.70828281900049),,,RHODE ISLAND
NEBRASKA,2014,14,,-,2,,11,,8,,19,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.36571864599966 41.64104043900045),,,NEBRASKA
ILLINOIS,2014,14,,-,4,,16,,4,,44,,,-,0,,3,,1,,5,,,-,0,,0,,,-,,-,POINT (-88.99770813999965 40.48501278700047),,,ILLINOIS
MASSACHUSETTS,2014,14,,-,2,,7,,19,,28,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-72.08268985899963 42.27687306500047),,,MASSACHUSETTS
NEW MEXICO,2014,14,,-,1,,3,,12,,8,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-106.24057768899968 34.52088247800049),,,NEW MEXICO
ARKANSAS,2014,14,1,,1,,12,,4,,5,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-92.27448794899965 34.748651751000466),,,ARKANSAS
INDIANA,2014,14,,-,2,,7,,13,,33,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,POINT (-86.14995579899966 39.76691364600049),,,INDIANA
TENNESSEE,2014,14,2,,1,,6,,21,,14,,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,POINT (-85.77448642199965 35.680943063000484),,,TENNESSEE
GUAM,2014,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (144.70297250000056 13.355173397000442),,,GUAM
MONTANA,2014,14,1,,1,,23,,4,,9,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-109.42441687999968 47.066526051000494),,,MONTANA
PUERTO RICO,2014,14,,N,0,,0,,,N,,N,,-,70,,424,,144,,2391,,,-,0,,5,,2,,16,,POINT (-98.34556876399967 26.649497232000442),,,PUERTO RICO
CONNECTICUT,2014,14,,-,0,,5,,8,,5,,,-,0,,2,,,-,3,,,-,0,,0,,,-,,-,POINT (-72.64983753699966 41.56266394200048),,,CONNECTICUT
WISCONSIN,2014,14,3,,7,,25,,67,,80,,,-,0,,1,,1,,4,,,-,0,,0,,,-,,-,POINT (-89.81636715299965 44.3931903350005),,,WISCONSIN
ARIZONA,2014,14,,-,1,,6,,13,,8,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-111.76380949799972 34.865973091000455),,,ARIZONA
SOUTH CAROLINA,2014,14,,-,1,,7,,13,,27,,,-,0,,4,,,-,1,,,-,0,,0,,,-,,-,POINT (-81.04536765699964 33.99882060100049),,,SOUTH CAROLINA
LOUISIANA,2014,14,,-,3,,31,,31,,50,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-92.44567554599968 31.312662564000448),,,LOUISIANA
KENTUCKY,2014,14,,-,1,,5,,11,,12,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-84.77496612599964 37.645973909000475),,,KENTUCKY
DELAWARE,2014,14,,-,0,,2,,2,,3,,,-,0,,1,,,-,,-,,-,0,,0,,,-,,-,POINT (-75.57773943699965 39.00883351400046),,,DELAWARE
NEVADA,2014,14,,-,0,,2,,1,,5,,,-,0,,1,,1,,1,,,-,0,,0,,,-,,-,POINT (-117.07183978499972 39.49324126500045),,,NEVADA
NORTH CAROLINA,2014,14,,-,0,,28,,48,,45,,,-,0,,2,,,-,5,,,-,0,,0,,,-,,-,POINT (-79.15924924699965 35.46622388600048),,,NORTH CAROLINA
HAWAII,2014,14,,-,0,,1,,,-,,-,,-,0,,2,,,-,2,,,-,0,,0,,,-,,-,POINT (-157.85774691599974 21.30485166200043),,,HAWAII
CALIFORNIA,2014,14,2,,6,,15,,70,,66,,,-,1,,8,,,-,14,,,-,0,,0,,,-,,-,POINT (-120.99999889499969 37.638640488000476),,,CALIFORNIA
UTAH,2014,14,,-,1,,8,,10,,30,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-111.5871285339997 39.36070374600047),,,UTAH
ALABAMA,2014,14,,-,2,,8,,22,,28,,,-,0,,2,,,-,1,,,-,0,,0,,,-,,-,POINT (-86.63185803899967 32.84057327200048),,,ALABAMA
VERMONT,2014,14,,-,0,,2,,2,,5,,,-,0,,2,,2,,1,,,-,0,,0,,,-,,-,POINT (-72.51763944499965 43.62538292400046),,,VERMONT
AMER. SAMOA,2014,14,,N,,-,,-,,N,,N,,-,,-,,-,,-,,-,,-,,-,,-,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,AMER. SAMOA
NEW JERSEY,2014,14,,-,0,,5,,3,,13,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-74.27368565099965 40.1305700530005),,,NEW JERSEY
VIRGIN ISL.,2014,14,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-99.11415045099966 39.52368635500045),,,VIRGIN ISL.
COLORADO,2014,14,,-,1,,7,,5,,13,,,-,0,,0,,,-,,-,,-,0,,0,,,-,,-,POINT (-106.13360888799969 38.84384047000049),,,COLORADO
NEW HAMPSHIRE,2014,14,,-,1,,2,,4,,6,,,-,0,,1,,,-,3,,,-,0,,0,,,-,,-,POINT (-71.50035726399966 43.6559537330005),,,NEW HAMPSHIRE
ALASKA,2014,14,,-,0,,1,,1,,,-,,-,0,,0,,,-,1,,,-,0,,0,,,-,,-,POINT (-147.72205669099972 64.84507923900048),,,ALASKA
